company_name,ticker,is_etf
알테오젠,196170.KQ,False
에코프로비엠,247540.KQ,False
HLB,028300.KQ,False
에코프로,086520.KQ,False
레인보우로보틱스,277810.KQ,False
삼천당제약,000250.KQ,False
리가켐바이오,141080.KQ,False
휴젤,145020.KQ,False
클래시스,214150.KQ,False
리노공업,058470.KQ,False
파마리서치,214450.KQ,False
JYP Ent.,035900.KQ,False
코오롱티슈진,950160.KQ,False
엔켐,348370.KQ,False
HPSP,403870.KQ,False
에스엠,041510.KQ,False
셀트리온제약,068760.KQ,False
펩트론,087010.KQ,False
펄어비스,263750.KQ,False
신성델타테크,065350.KQ,False
실리콘투,257720.KQ,False
보로노이,310210.KQ,False
에이비엘바이오,298380.KQ,False
이오테크닉스,039030.KQ,False
루닛,328130.KQ,False
주성엔지니어링,036930.KQ,False
테크윙,089030.KQ,False
대주전자재료,078600.KQ,False
에스티팜,237690.KQ,False
ISC,095340.KQ,False
솔브레인,357780.KQ,False
파크시스템스,140860.KQ,False
스튜디오드래곤,253450.KQ,False
케어젠,214370.KQ,False
동진쎄미켐,005290.KQ,False
제이앤티씨,204270.KQ,False
카카오게임즈,293490.KQ,False
서진시스템,178320.KQ,False
CJ ENM,035760.KQ,False
브이티,018290.KQ,False
위메이드,112040.KQ,False
원익IPS,240810.KQ,False
레이크머티리얼즈,281740.KQ,False
카페24,042000.KQ,False
HLB생명과학,067630.KQ,False
젬백스,082270.KQ,False
고영,098460.KQ,False
씨젠,096530.KQ,False
SOOP,067160.KQ,False
네이처셀,007390.KQ,False
피엔티,137400.KQ,False
와이지엔터테인먼트,122870.KQ,False
HK이노엔,195940.KQ,False
디어유,376300.KQ,False
하이젠알앤엠,160190.KQ,False
유진테크,084370.KQ,False
필옵틱스,161580.KQ,False
와이씨,232140.KQ,False
오스코텍,039200.KQ,False
티씨케이,064760.KQ,False
피에스케이홀딩스,031980.KQ,False
넥슨게임즈,225570.KQ,False
메디톡스,086900.KQ,False
국일제지,078130.KQ,False
나노신소재,121600.KQ,False
태성,323280.KQ,False
엠로,058970.KQ,False
안랩,053800.KQ,False
LS머트리얼즈,417200.KQ,False
HLB제약,047920.KQ,False
메지온,140410.KQ,False
파두,440110.KQ,False
HLB테라퓨틱스,115450.KQ,False
유일로보틱스,388720.KQ,False
덕산네오룩스,213420.KQ,False
올릭스,226950.KQ,False
솔브레인홀딩스,036830.KQ,False
하나마이크론,067310.KQ,False
덕산테코피아,317330.KQ,False
중앙첨단소재,051980.KQ,False
에스에프에이,056190.KQ,False
성광벤드,014620.KQ,False
위메이드맥스,101730.KQ,False
동국제약,086450.KQ,False
오름테라퓨틱,475830.KQ,False
에스앤에스텍,101490.KQ,False
에코프로에이치엔,383310.KQ,False
차바이오텍,085660.KQ,False
하나머티리얼즈,166090.KQ,False
동화기업,025900.KQ,False
지아이이노베이션,358570.KQ,False
제룡전기,033100.KQ,False
씨아이에스,222080.KQ,False
비에이치아이,083650.KQ,False
두산테스나,131970.KQ,False
에스피지,058610.KQ,False
현대힘스,460930.KQ,False
동성화인텍,033500.KQ,False
티앤엘,340570.KQ,False
피에스케이,319660.KQ,False
하림지주,003380.KQ,False
가온칩스,399720.KQ,False
심텍,222800.KQ,False
포스코엠텍,009520.KQ,False
비츠로셀,082920.KQ,False
컴투스,078340.KQ,False
디앤디파마텍,347850.KQ,False
바이넥스,053030.KQ,False
SFA반도체,036540.KQ,False
제주반도체,080220.KQ,False
쎄트렉아이,099320.KQ,False
태광,023160.KQ,False
넥스틴,348210.KQ,False
이녹스첨단소재,272290.KQ,False
LS마린솔루션,060370.KQ,False
원익QnC,074600.KQ,False
원텍,336570.KQ,False
우리기술투자,041190.KQ,False
퓨쳐켐,220100.KQ,False
한글과컴퓨터,030520.KQ,False
티에스이,131290.KQ,False
아난티,025980.KQ,False
펌텍코리아,251970.KQ,False
네오셈,253590.KQ,False
엘앤씨바이오,290650.KQ,False
현대바이오,048410.KQ,False
에코앤드림,101360.KQ,False
시노펙스,025320.KQ,False
에스티큐브,052020.KQ,False
코스메카코리아,241710.KQ,False
성일하이텍,365340.KQ,False
에프에스티,036810.KQ,False
코미코,183300.KQ,False
비올,335890.KQ,False
제우스,079370.KQ,False
웹젠,069080.KQ,False
RFHIC,218410.KQ,False
현대무벡스,319400.KQ,False
아이센스,099190.KQ,False
쏠리드,050890.KQ,False
메가스터디교육,215200.KQ,False
선익시스템,171090.KQ,False
아이쓰리시스템,214430.KQ,False
네오위즈,095660.KQ,False
큐로셀,372320.KQ,False
휴온스글로벌,084110.KQ,False
테스,095610.KQ,False
지노믹트리,228760.KQ,False
로보티즈,108490.KQ,False
휴메딕스,200670.KQ,False
제이오,418550.KQ,False
넥스트바이오메디컬,389650.KQ,False
엔젤로보틱스,455900.KQ,False
코엔텍,029960.KQ,False
파트론,091700.KQ,False
성우하이텍,015750.KQ,False
다원시스,068240.KQ,False
유바이오로직스,206650.KQ,False
HLB이노베이션,024850.KQ,False
피아이이,452450.KQ,False
바이오다인,314930.KQ,False
서울반도체,046890.KQ,False
데브시스터즈,194480.KQ,False
바이오플러스,099430.KQ,False
다우데이타,032190.KQ,False
씨메스,475400.KQ,False
클로봇,466100.KQ,False
천보,278280.KQ,False
바이오니아,064550.KQ,False
에이프릴바이오,397030.KQ,False
인텔리안테크,189300.KQ,False
삼현,437730.KQ,False
한국기업평가,034950.KQ,False
셀바스AI,108860.KQ,False
아이패밀리에스씨,114840.KQ,False
칩스앤미디어,094360.KQ,False
기가비스,420770.KQ,False
에이직랜드,445090.KQ,False
동신건설,025950.KQ,False
유티아이,179900.KQ,False
큐렉소,060280.KQ,False
동운아나텍,094170.KQ,False
코나아이,052400.KQ,False
켐트로닉스,089010.KQ,False
콜마비앤에이치,200130.KQ,False
골프존,215000.KQ,False
씨앤씨인터내셔널,352480.KQ,False
더블유씨피,393890.KQ,False
GST,083450.KQ,False
케이아이엔엑스,093320.KQ,False
지씨셀,144510.KQ,False
비보존 제약,082800.KQ,False
바디텍메드,206640.KQ,False
서부T&D,006730.KQ,False
오픈엣지테크놀로지,394280.KQ,False
이엠텍,091120.KQ,False
서희건설,035890.KQ,False
신성에스티,416180.KQ,False
에스티아이,039440.KQ,False
툴젠,199800.KQ,False
이엔에프테크놀로지,102710.KQ,False
