company_name,ticker,is_etf
삼성전자,005930.KS,False
SK하이닉스,000660.KS,False
LG에너지솔루션,373220.KS,False
삼성바이오로직스,207940.KS,False
현대차,005380.KS,False
삼성전자우,005935.KS,False
셀트리온,068270.KS,False
기아,000270.KS,False
NAVER,035420.KS,False
KB금융,105560.KS,False
한화에어로스페이스,012450.KS,False
HD현대중공업,329180.KS,False
신한지주,055550.KS,False
메리츠금융지주,138040.KS,False
현대모비스,012330.KS,False
POSCO홀딩스,005490.KS,False
한화오션,042660.KS,False
삼성물산,028260.KS,False
SK이노베이션,096770.KS,False
두산에너빌리티,034020.KS,False
삼성화재,000810.KS,False
삼성생명,032830.KS,False
하나금융지주,086790.KS,False
LG화학,051910.KS,False
카카오,035720.KS,False
고려아연,010130.KS,False
HMM,011200.KS,False
삼성SDI,006400.KS,False
크래프톤,259960.KS,False
HD한국조선해양,009540.KS,False
한국전력,015760.KS,False
HD현대일렉트릭,267260.KS,False
LG전자,066570.KS,False
SK스퀘어,402340.KS,False
KT&G,033780.KS,False
우리금융지주,316140.KS,False
SK텔레콤,017670.KS,False
기업은행,024110.KS,False
KT,030200.KS,False
삼성중공업,010140.KS,False
카카오뱅크,323410.KS,False
포스코퓨처엠,003670.KS,False
LG,003550.KS,False
SK,034730.KS,False
삼성전기,009150.KS,False
한미반도체,042700.KS,False
하이브,352820.KS,False
현대글로비스,086280.KS,False
삼성에스디에스,018260.KS,False
현대로템,064350.KS,False
유한양행,000100.KS,False
SK바이오팜,326030.KS,False
대한항공,003490.KS,False
LS ELECTRIC,010120.KS,False
포스코인터내셔널,047050.KS,False
DB손해보험,005830.KS,False
아모레퍼시픽,090430.KS,False
LIG넥스원,079550.KS,False
삼양식품,003230.KS,False
S-Oil,010950.KS,False
에코프로머티,450080.KS,False
HD현대마린솔루션,443060.KS,False
한화시스템,272210.KS,False
두산,000150.KS,False
HD현대,267250.KS,False  
한국항공우주,047810.KS,False
코웨이,021240.KS,False
현대차2우B,005387.KS,False
한진칼,180640.KS,False
SKC,011790.KS,False
맥쿼리인프라,088980.KS,False
LG생활건강,051900.KS,False
삼성카드,029780.KS,False
미래에셋증권,006800.KS,False
LG씨엔에스,064400.KS,False
두산밥캣,241560.KS,False
LG디스플레이,034220.KS,False
NH투자증권,005940.KS,False
한국타이어앤테크놀로지,161390.KS,False
두산로보틱스,454910.KS,False
LG유플러스,032640.KS,False
한국금융지주,071050.KS,False
효성중공업,298040.KS,False
HD현대미포,010620.KS,False
카카오페이,377300.KS,False
오리온,271560.KS,False
삼성증권,016360.KS,False
넷마블,251270.KS,False
포스코DX,022100.KS,False
현대건설,000720.KS,False
LG이노텍,011070.KS,False
엔씨소프트,036570.KS,False
LS,006260.KS,False
현대차우,005385.KS,False
GS,078930.KS,False
현대오토에버,307950.KS,False
BNK금융지주,138930.KS,False
SK바이오사이언스,302440.KS,False
CJ제일제당,097950.KS,False
시프트업,462870.KS,False
삼성E&A,028050.KS,False
한화솔루션,009830.KS,False
JB금융지주,175330.KS,False
현대제철,004020.KS,False
강원랜드,035250.KS,False
한미약품,128940.KS,False
금호석유,011780.KS,False
엘앤에프,066970.KS,False
한화,000880.KS,False
한국가스공사,036460.KS,False
CJ,001040.KS,False
키움증권,039490.KS,False
한온시스템,018880.KS,False
롯데케미칼,011170.KS,False
F&F,383220.KS,False
이수페타시스,007660.KS,False
한전기술,052690.KS,False
KCC,002380.KS,False
대한전선,001440.KS,False
롯데지주,004990.KS,False
동서,026960.KS,False
한화비전,489790.KS,False
더존비즈온,012510.KS,False
에스원,012750.KS,False
SK가스,018670.KS,False
