company_name,ticker,is_etf
1Q 머니마켓액티브,479080.KS,True
1Q CD금리액티브(합성),491610.KS,True
1Q 단기금융채액티브,463290.KS,True
1Q 현대차그룹채권(A+이상)&국고통안,492500.KS,True
1Q 25-08 회사채(A+이상)액티브,466400.KS,True
1Q K200액티브,451060.KS,True
1Q 코리아밸류업,495330.KS,True
1Q 차이나H(H),472350.KS,True
1Q 미국배당30,0004G0.KS,True
BNK 26-06 특수채(AAA이상)액티브,495710.KS,True
BNK 주주가치액티브,445690.KS,True
BNK 미래전략기술액티브,457930.KS,True
BNK 2차전지양극재,466810.KS,True
BNK 온디바이스AI,487750.KS,True
DAISHIN343 AI반도체&인프라액티브,486240.KS,True
DAISHIN343 K200,434960.KS,True
FOCUS AI코리아액티브,448570.KS,True
FOCUS ESG리더스,285690.KS,True
FOCUS KRX300,292730.KS,True
HK 26-12 회사채(AA-이상)액티브,0000Y0.KS,True
HK 종합채권(AA-이상)액티브,472920.KS,True
HK 200,491700.KS,True
HK S&P코리아로우볼,215620.KS,True
HK 베스트일레븐액티브,391670.KS,True
ITF 200,472840.KS,True
ITF K-AI반도체코어테크,0005G0.KS,True
KCGI 미국S&P500 TOP10,483570.KS,True
KCGI 테크미디어텔레콤액티브,407160.KS,True
KCGI 스마트커머스액티브,407170.KS,True
KoAct 바이오헬스케어액티브,462900.KS,True
KoAct 글로벌AI&로봇액티브,471040.KS,True
KoAct 코리아밸류업액티브,495230.KS,True
KoAct 배당성장액티브,476850.KS,True
KoAct 미국천연가스인프라액티브,497780.KS,True
KoAct 미국뇌질환치료제액티브,490330.KS,True
KoAct 글로벌기후테크인프라액티브,475070.KS,True
KoAct AI인프라액티브,487130.KS,True
KoAct 테크핵심소재공급망액티브,482030.KS,True
TIMEFOLIO 글로벌AI인공지능액티브,456600.KS,True
TIMEFOLIO 미국나스닥100액티브,426030.KS,True
TIMEFOLIO K바이오액티브,463050.KS,True
TIMEFOLIO Korea플러스배당액티브,441800.KS,True
TIMEFOLIO 글로벌우주테크&방산액티브,478150.KS,True
TIMEFOLIO 코스피액티브,385720.KS,True
TIMEFOLIO 미국S&P500액티브,426020.KS,True
TIMEFOLIO 글로벌소비트렌드액티브,494180.KS,True
TIMEFOLIO K컬처액티브,410870.KS,True
TIMEFOLIO K신재생에너지액티브,404120.KS,True
TIMEFOLIO K이노베이션액티브,385710.KS,True
TIMEFOLIO 코리아밸류업액티브,495060.KS,True
TIMEFOLIO 글로벌안티에이징바이오액티브,485810.KS,True
TREX 200,108590.KS,True
TREX 펀더멘탈 200,145850.KS,True
VITA MZ소비액티브,422260.KS,True
VITA 밸류알파액티브,452440.KS,True
WON 200,448100.KS,True
WON 미국S&P500,444490.KS,True
WON 25-09 회사채(AA-이상)액티브,468820.KS,True
WON 대한민국국고채액티브,426150.KS,True
